"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:01:56 EST 1970","0.06536424","-0.15670478","0.22206902","-1.6595802","3.4903803","5.1499605"
"Thu Jan 01 15:01:57 EST 1970","0.37585708","0.4965497","0.12069261999999997","0.11093259","-4.8600645","4.97099709"
"Thu Jan 01 15:01:59 EST 1970","-0.0012726784","-0.018334031","0.0170613526","-0.3806579","4.6901546","5.0708125"
"Thu Jan 01 15:01:59 EST 1970","-0.014667273","-0.024542809","0.009875535999999999","3.7521238","-1.9888813","5.741005100000001"
"Thu Jan 01 15:01:59 EST 1970","-0.019634247","-0.05095899","0.031324743","-1.5911051","3.687459","5.2785641000000005"
"Number of Direction Changes:","5","Average X Acceleration Change","0.08020465432","Average Y Acceleration Change","5.242267858"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
