"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:02:09 EST 1970","0.06873095","0.021900415","0.046830535","-0.1330576","4.739141","4.8721986"
"Thu Jan 01 15:02:24 EST 1970","0.08899236","0.11194289","0.022950529999999997","0.06570768","-4.8672333","4.93294098"
"Thu Jan 01 15:02:24 EST 1970","-0.03891921","-0.0955075","0.05658828999999999","-0.19651008","4.791171","4.987681080000001"
"Thu Jan 01 15:02:25 EST 1970","0.058815777","0.024898529","0.033917248","0.683656","-4.4491115","5.1327675"
"Thu Jan 01 15:02:25 EST 1970","0.0013005733","-0.023441732","0.0247423053","-2.290783","3.167262","5.458045"
"Number of Direction Changes:","5","Average X Acceleration Change","0.037005781659999994","Average Y Acceleration Change","5.076726632000001"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
