"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:01:11 EST 1970","0.015477806","0.036337107","0.020859301","-0.06279516","4.9668074","5.029602560000001"
"Thu Jan 01 15:01:11 EST 1970","0.09573147","0.105912864","0.010181393999999996","0.67289233","-4.484429","5.15732133"
"Thu Jan 01 15:01:16 EST 1970","0.15590888","0.22293985","0.06703097","-0.066222906","4.781264","4.847486906"
"Thu Jan 01 15:01:17 EST 1970","0.0035778284","0.060639262","0.0570614336","0.28284287","-4.6211424","4.90398527"
"Number of Direction Changes:","4","Average X Acceleration Change","0.03878327465","Average Y Acceleration Change","4.984599016500001"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
