"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:00:58 EST 1970","-0.074221194","-0.10679448","0.03257328599999999","0.025613785","-4.988203","5.013816785"
"Thu Jan 01 15:01:00 EST 1970","-0.032131154","0.005991176","0.03812233","-0.003841877","5.005653","5.009494877"
"Thu Jan 01 15:01:01 EST 1970","-0.019286048","-0.05632796","0.037041912","0.43610168","-4.6714087","5.10751038"
"Thu Jan 01 15:01:01 EST 1970","-0.05048268","-0.020879835","0.029602845000000003","-1.531967","3.7911608","5.3231278"
"Thu Jan 01 15:01:06 EST 1970","0.15548801","0.15299797","0.002490039999999999","0.059195757","-4.9501977","5.009393457000001"
"Thu Jan 01 15:01:07 EST 1970","-0.009316921","-0.07744527","0.06812834899999999","-0.018364668","4.8440914","4.862456068"
"Thu Jan 01 15:01:10 EST 1970","-0.091524005","-0.14946014","0.057936134999999986","0.070782185","-4.957349","5.0281311849999994"
"Number of Direction Changes:","7","Average X Acceleration Change","0.03798498528571429","Average Y Acceleration Change","5.050561507428571"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
