"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:02:03 EST 1970","-0.050140917","-0.12450999","0.07436907300000001","0.09415746","-4.858379","4.95253646"
"Thu Jan 01 15:02:03 EST 1970","0.09290373","0.12234068","0.02943694999999999","-0.18337989","4.8496103","5.0329901900000005"
"Thu Jan 01 15:02:03 EST 1970","0.097872615","0.18371439","0.08584177500000001","3.8796883","-1.8231802","5.7028685"
"Thu Jan 01 15:02:04 EST 1970","-0.07142806","-0.22844619","0.15701812999999998","-0.28237796","4.640595","4.92297296"
"Thu Jan 01 15:02:04 EST 1970","-0.40901566","-0.4063479","0.002667760000000019","1.557018","-3.5240273","5.0810453"
"Thu Jan 01 15:02:05 EST 1970","-0.047891915","-0.0044465214","0.0434453936","-0.34678984","4.570645","4.91743484"
"Thu Jan 01 15:02:05 EST 1970","0.13316953","0.09757197","0.035597560000000014","0.34622908","-4.562274","4.90850308"
"Number of Direction Changes:","7","Average X Acceleration Change","0.06119666308571429","Average Y Acceleration Change","5.07405019"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
