"Time:","Reading Number:","Azimuth:","Pitch:","Roll:","Acceleration X:","Acceleration Y:","Acceleration Z:","Start/End:","Activity:"
"15:00:50","535","-1.0631208","1.4141594","-1.6805949","-0.018931746","0.104721904","-0.10470998","","turn toaster on"
"15:00:50","536","-0.84410304","1.3723097","-1.882892","-0.04862523","-0.07806003","0.09144628","","turn toaster on"
"15:00:50","537","-0.84410304","1.3723097","-1.882892","-0.038900137","-0.062447906","0.07315707","","turn toaster on"
"15:00:50","538","-0.8959479","1.3412665","-1.8163306","-0.055954695","0.0032908916","0.01704979","","turn toaster on"
"15:00:50","539","-0.8959479","1.3412665","-1.8163306","-0.044763803","0.0026327372","0.013639808","","turn toaster on"
"15:00:50","540","-0.8983771","1.3500679","-1.8139005","-0.02876997","0.004050255","0.008968413","","turn toaster on"
"15:00:50","541","-0.8983771","1.3500679","-1.8139005","-0.023015976","0.0032402277","0.0071747303","","turn toaster on"
"15:00:50","542","-1.1794982","1.3680998","-1.5453025","-0.003987193","0.21747053","-0.2191571","","turn toaster on"
"15:00:50","543","-1.1794982","1.3680998","-1.5453025","-0.003189683","0.17397642","-0.17532563","","turn toaster on"
"15:00:50","544","-1.3686845","1.3666664","-1.3884532","-0.0036984682","0.2646606","-0.29160953","","turn toaster on"
"15:00:50","545","-1.3686845","1.3666664","-1.3884532","-0.0029587746","0.21172845","-0.23328757","","turn toaster on"
"15:00:50","546","-1.3142786","1.3704097","-1.5034155","6.276369E-4","0.07741296","-0.14310527","","turn toaster on"
"15:00:50","547","-1.3142786","1.3704097","-1.5034155","5.021095E-4","0.0619303","-0.11448419","","turn toaster on"
"15:00:50","548","-1.4356713","1.378232","-1.4747202","0.0066595078","0.07250047","-0.18870151","","turn toaster on"
"15:00:50","549","-1.4356713","1.378232","-1.4747202","0.0053277016","0.058000445","-0.15096116","","turn toaster on"
"15:00:50","550","-0.99272984","1.4879596","-2.2194347","0.092044234","-0.54937124","0.23358423","","turn toaster on"
"15:00:50","551","-0.99272984","1.4879596","-2.2194347","0.07363534","-0.439497","0.18686742","","turn toaster on"
"15:00:50","552","-0.058207594","1.2480968","2.798812","-0.13298202","3.6629996","0.8971118","","turn toaster on"
"15:00:50","553","-0.058207594","1.2480968","2.798812","-0.10638559","2.9304","0.7176894","","turn toaster on"
"15:00:50","554","-0.27799284","0.9865234","2.7914226","-0.2943673","2.3384085","0.3983233","","turn toaster on"
"15:00:50","555","-0.27799284","0.9865234","2.7914226","-0.2354939","1.8707268","0.31865865","","turn toaster on"
"15:00:50","556","-0.4169925","0.9041682","2.8813703","-0.25427932","1.5685396","0.14372724","","turn toaster on"
"15:00:50","557","-0.4169925","0.9041682","2.8813703","-0.20342344","1.2548317","0.11498183","","turn toaster on"
"15:00:50","558","-0.4985763","0.7970573","3.0349045","-0.24842751","1.1266928","0.026718408","","turn toaster on"
"15:00:50","559","-0.4985763","0.7970573","3.0349045","-0.19874197","0.9013543","0.021374732","","turn toaster on"
"15:00:50","560","-0.47061324","0.88871855","-3.134774","-0.08566457","-4.2146597","0.039470255","","turn toaster on"
"15:00:50","561","-0.47061324","0.88871855","-3.134774","-0.06853169","-3.3717277","0.031576216","","turn toaster on"
"15:00:50","562","-0.54063","0.78322893","-2.9846127","-0.13921702","-2.577253","-0.03075242","","turn toaster on"
"15:00:50","563","-0.54063","0.78322893","-2.9846127","-0.1113736","-2.0618024","-0.024601936","","turn toaster on"
"15:00:51","564","-0.6237472","0.77455336","-2.8713133","-0.096039355","-1.5588026","-0.08617532","","turn toaster on"
"15:00:51","565","-0.6237472","0.77455336","-2.8713133","-0.07683152","-1.2470421","-0.06894028","","turn toaster on"
"15:00:51","566","-0.8012673","0.84170026","-2.6342869","-0.0077477098","-0.8080125","-0.19716829","","turn toaster on"
"15:00:51","567","-0.8012673","0.84170026","-2.6342869","-0.006198168","-0.64641","-0.15773463","","turn toaster on"
"15:00:51","568","-0.7153198","0.80709875","-2.7466762","-0.032639742","-0.60703945","-0.05742967","","turn toaster on"
"15:00:51","569","-0.7153198","0.80709875","-2.7466762","-0.026111782","-0.4856317","-0.045943737","","turn toaster on"
"15:00:51","570","-0.47842413","0.7075086","-3.0586581","-0.10056156","-0.63809085","0.15276158","","turn toaster on"
"15:00:51","571","-0.47842413","0.7075086","-3.0586581","-0.08044928","-0.5104728","0.12220925","","turn toaster on"
"15:00:51","572","-0.3401445","0.6865739","3.0613852","-0.0811072","4.4876566","0.2083911","","turn toaster on"
