"Time:","Reading Number:","Azimuth:","Pitch:","Roll:","Acceleration X:","Acceleration Y:","Acceleration Z:","Start/End:","Activity:"
"15:01:54","2385","-2.2747622","1.3126615","-1.2214123","0.026166081","-0.077940464","0.0728879","","stir"
"15:01:54","2386","-2.4593744","1.283412","-1.0250624","-0.0024667978","0.094727516","-0.08937955","","stir"
"15:01:54","2387","-2.4593744","1.283412","-1.0250624","-0.0019735098","0.07578206","-0.07150364","","stir"
"15:01:54","2388","-2.610899","1.2217036","-0.85718536","-0.0509454","0.19492733","-0.17842245","","stir"
"15:01:54","2389","-2.610899","1.2217036","-0.85718536","-0.040756345","0.15594184","-0.14273787","","stir"
"15:01:54","2390","-2.5344954","1.2351758","-0.9308812","-0.02182734","0.06579679","-0.053067446","","stir"
"15:01:54","2391","-2.5344954","1.2351758","-0.9308812","-0.017461896","0.052637458","-0.042454004","","stir"
"15:01:55","2392","-2.470406","1.2549766","-0.99803954","0.001871109","-0.011616707","0.017308235","","stir"
"15:01:55","2393","-2.470406","1.2549766","-0.99803954","0.001496911","-0.009293377","0.013846636","","stir"
"15:01:55","2394","-2.2275271","1.3075179","-1.2539583","0.043230534","-0.21216977","0.20538044","","stir"
"15:01:55","2395","-2.2275271","1.3075179","-1.2539583","0.034584403","-0.16973579","0.1643045","","stir"
"15:01:55","2396","-2.2185688","1.3265606","-1.2694257","0.042901754","-0.1481626","0.13861036","","stir"
"15:01:55","2397","-2.2185688","1.3265606","-1.2694257","0.034321427","-0.118530154","0.11088824","","stir"
"15:01:55","2398","-2.4342005","1.2962939","-1.0459805","0.0032436848","0.08393204","-0.08379483","","stir"
"15:01:55","2399","-2.4342005","1.2962939","-1.0459805","0.0025949478","0.067145586","-0.06703591","","stir"
"15:01:55","2400","-2.566256","1.2543437","-0.90599984","-0.031484127","0.16570097","-0.15927315","","stir"
"15:01:55","2401","-2.566256","1.2543437","-0.90599984","-0.025187254","0.13256079","-0.12741852","","stir"
"15:01:55","2402","-2.5174408","1.2505089","-0.9521928","-0.023217678","0.0690943","-0.06288266","","stir"
"15:01:55","2403","-2.5174408","1.2505089","-0.9521928","-0.018574238","0.05527544","-0.05030608","","stir"
"15:01:55","2404","-2.5910842","1.2787613","-0.88433003","0.007742524","0.09851056","-0.09915972","","stir"
"15:01:55","2405","-2.5910842","1.2787613","-0.88433003","0.0061939955","0.07880843","-0.07932782","","stir"
"15:01:55","2406","-2.733181","1.316227","-0.74839026","0.034927726","0.17179859","-0.17713976","","stir"
"15:01:55","2407","-2.733181","1.316227","-0.74839026","0.02794218","0.1374389","-0.14171195","","stir"
"15:01:55","2408","-2.8765328","1.3398309","-0.60632247","0.041236877","0.22360533","-0.22805095","","stir"
"15:01:55","2409","-2.8765328","1.3398309","-0.60632247","0.032989502","0.17888433","-0.18244052","","stir"
"15:01:55","2410","-2.9761353","1.3508629","-0.5040733","0.035217166","0.22490674","-0.22563434","","stir"
"15:01:55","2411","-2.9761353","1.3508629","-0.5040733","0.028173685","0.17992538","-0.18050742","","stir"
"15:01:55","2412","-3.0574021","1.3269876","-0.41641867","0.0034387112","0.214064","-0.20941925","","stir"
"15:01:55","2413","-3.0574021","1.3269876","-0.41641867","0.0027508736","0.17125118","-0.1675353","","stir"
"15:01:55","2414","-3.1103866","1.3503813","-0.35351792","0.020915508","0.18732157","-0.17641592","","stir"
"15:01:55","2415","-3.1103866","1.3503813","-0.35351792","0.016732335","0.14985725","-0.14113283","","stir"
"15:01:55","2416","-3.0731575","1.3280046","-0.38295263","-0.0045155287","0.09633803","-0.08312297","","stir"
"15:01:55","2417","-3.0731575","1.3280046","-0.38295263","-0.003612399","0.077070415","-0.06649852","","stir"
"15:01:55","2418","3.1293375","1.3439952","-0.28903157","0.009902477","0.1367932","4.9087973","","stir"
"15:01:55","2419","3.1293375","1.3439952","-0.28903157","0.007921934","0.109434575","3.927038","","stir"
"15:01:55","2420","-3.0516248","1.3289279","-0.3821355","-0.005716324","0.013064504","-1.8031394","","stir"
"15:01:56","2421","-3.0516248","1.3289279","-0.3821355","-0.0045731068","0.010451615","-1.4425116","","stir"
"15:01:56","2422","3.0709674","1.3915429","-0.21326433","0.04643345","0.14345826","3.7440646","","stir"
"15:01:56","2423","3.0709674","1.3915429","-0.21326433","0.037146807","0.11476661","2.9952517","","stir"
"15:01:56","2424","-3.0654054","1.3726797","-0.35388762","0.014626861","-0.020685315","-2.512897","","stir"
"15:01:56","2425","-3.0654054","1.3726797","-0.35388762","0.011701465","-0.016548276","-2.0103176","","stir"
"15:01:56","2426","-3.1060877","1.3993993","-0.29725415","0.030736804","0.032068163","-1.6408","","stir"
"15:01:56","2427","-3.1060877","1.3993993","-0.29725415","0.02458942","0.025654554","-1.3126401","","stir"
"15:01:56","2428","-3.023423","1.4365689","-0.36008874","0.049407125","-0.029744","-0.9839804","","stir"
"15:01:56","2429","-3.023423","1.4365689","-0.36008874","0.039525628","-0.023795217","-0.7871845","","stir"
"15:01:56","2430","-2.8647625","1.4578139","-0.50797075","0.04861641","-0.13734177","-0.5028193","","stir"
"15:01:56","2431","-2.8647625","1.4578139","-0.50797075","0.038893104","-0.109873414","-0.40225554","","stir"
